[2024-08-24T13:08:58.544+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-08-24T13:08:58.560+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tutorial_taskflow_api.extract manual__2024-08-24T13:08:57.356294+00:00 [queued]>
[2024-08-24T13:08:58.568+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tutorial_taskflow_api.extract manual__2024-08-24T13:08:57.356294+00:00 [queued]>
[2024-08-24T13:08:58.569+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 1
[2024-08-24T13:08:58.583+0000] {taskinstance.py:2879} INFO - Executing <Task(_PythonDecoratedOperator): extract> on 2024-08-24 13:08:57.356294+00:00
[2024-08-24T13:08:58.587+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=453) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-08-24T13:08:58.588+0000] {standard_task_runner.py:72} INFO - Started process 454 to run task
[2024-08-24T13:08:58.589+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tutorial_taskflow_api', 'extract', 'manual__2024-08-24T13:08:57.356294+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpjx5nhtys']
[2024-08-24T13:08:58.592+0000] {standard_task_runner.py:105} INFO - Job 5: Subtask extract
[2024-08-24T13:08:58.640+0000] {task_command.py:467} INFO - Running <TaskInstance: tutorial_taskflow_api.extract manual__2024-08-24T13:08:57.356294+00:00 [running]> on host d334eccfe2d9
[2024-08-24T13:08:58.717+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tutorial_taskflow_api' AIRFLOW_CTX_TASK_ID='extract' AIRFLOW_CTX_EXECUTION_DATE='2024-08-24T13:08:57.356294+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-24T13:08:57.356294+00:00'
[2024-08-24T13:08:58.719+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-08-24T13:08:58.911+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/dawncaster-deckbuilding-rpg/id1555459868?l=vi
[2024-08-24T13:08:58.912+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/lapse-a-forgotten-future/id1509252675?l=vi
[2024-08-24T13:08:58.913+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/battleship/id1336026283?l=vi
[2024-08-24T13:08:58.914+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/l%E1%BB%A5c-tung-tam-qu%E1%BB%91c/id6478090188?l=vi
[2024-08-24T13:08:58.914+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/pocket-build/id1293681293?l=vi
[2024-08-24T13:08:58.915+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/the-greedy-cave/id1028950091?l=vi
[2024-08-24T13:08:58.916+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/kingdom-guard-tower-defense/id6446245017?l=vi
[2024-08-24T13:08:58.917+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/gunsnglory-premium/id385902072?l=vi
[2024-08-24T13:08:58.917+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/fishdom-vtc-game/id664575829?l=vi
[2024-08-24T13:08:58.918+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/gta-vice-city-definitive/id6468845173?l=vi
[2024-08-24T13:08:58.918+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/dungeonsquad/id1642733080?l=vi
[2024-08-24T13:08:58.919+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/pizza-ready/id6450917563?l=vi
[2024-08-24T13:08:58.920+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/help-them-tricky-puzzle/id6547867655?l=vi
[2024-08-24T13:08:58.920+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/kh%E1%BB%9Fi-nguy%C3%AAn-mobile/id6479636678?l=vi
[2024-08-24T13:08:58.921+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/plants-vs-zombies/id893677096?l=vi
[2024-08-24T13:08:58.921+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/folium/id6498623389?l=vi
[2024-08-24T13:08:58.922+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/angela-bi%E1%BA%BFt-n%C3%B3i-c%E1%BB%A7a-t%C3%B4i/id909351158?l=vi
[2024-08-24T13:08:58.923+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/doggo-go-vtc/id6443985819?l=vi
[2024-08-24T13:08:58.923+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/wreckfest/id1592505377?l=vi
[2024-08-24T13:08:58.924+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/rise-of-kingdoms-gamota/id1574489575?l=vi
[2024-08-24T13:08:58.925+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/tru-ti%C3%AAn-3d-thanh-v%C3%A2n-ch%C3%AD/id1230292637?l=vi
[2024-08-24T13:08:58.925+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/ph%C3%BA-h%E1%BB%99-c%C3%B4ng-l%C6%B0%E1%BB%A3c-tth/id1619055257?l=vi
[2024-08-24T13:08:58.926+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/real-badminton/id580008932?l=vi
[2024-08-24T13:08:58.926+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/monoposto/id1262474519?l=vi
[2024-08-24T13:08:58.927+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/x-samkok-si%C3%AAu-n%C4%83ng-tam-qu%E1%BB%91c/id6502480712?l=vi
[2024-08-24T13:08:58.927+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/%C4%91%E1%BA%A5u-th%E1%BA%A7n-tuy%E1%BB%87t-th%E1%BA%BF/id1672472869?l=vi
[2024-08-24T13:08:58.928+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/little-nightmares/id1620883955?l=vi
[2024-08-24T13:08:58.929+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/the-escapists-prison-escape/id1005658093?l=vi
[2024-08-24T13:08:58.929+0000] {logging_mixin.py:190} INFO - https://apps.apple.com/vn/app/earn-to-die/id554937499?l=vi
